Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
Farming Village ,"Cornucopia, 1E ",Action,,+2 Actions,2,1,,,,,,,
,,,,Reveal cards from your deck until you reveal a Treasure or Action card. Put that card into your hand and discard the rest.,,,,,,,,,
Horse Traders ,"Cornucopia, 1E ",Action - Reaction,,+1 Buy,,-2,1,+,,,,,
,,,,+,,*N +1,,,,,,,
,,,,Discard 2 cards.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When another player plays an Attack card, you may first set this aside from your hand. If you do, then at the start of your next turn, +1 Card and return this to your hand.",,,,,,,,,
Remake ,Cornucopia ,Action,,"Do this twice: Trash a card from your hand, then gain a card costing exactly more than it.",,,,,2,,,2,
Tournament ,"Cornucopia, 1E ",Action,,+1 Action,1, !+1,, !+,,,, !1, !(3  ?) 
,,,,"Each player may reveal a Province from their hand. If you do, discard it and gain any Prize (from the Prize pile) or a Duchy, onto your deck. If no-one else does, +1 Card and +.",,,,,,,,,
Young Witch ,Cornucopia ,Action - Attack,,+2 Cards,,"+2, -2",,,,, !1,,
,,,,Discard 2 cards. Each other player gains a Curse unless they reveal a Bane from their hand.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Add an extra Kingdom card pile costing or to the Supply. Its cards are Banes.,,,,,,,,,
Harvest ,"Cornucopia, 1E ",Action,,"Reveal the top 4 cards of your deck, then discard them. + per differently named card revealed.",,,,+,,,,,
Horn of Plenty ,Cornucopia ,Treasure,,"Gain a card costing up to per differently named card you have in play (counting this). If it's a Victory card, trash this.",,,,,Self?,,,1,
Hunting Party ,Cornucopia ,Action,,+1 Card,1,2,,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,Reveal your hand. Reveal cards from your deck until you reveal a card that isn’t a copy of one in your hand. Put it into your hand and discard the rest.,,,,,,,,,
Jester ,Cornucopia ,Action - Attack,,+,,,,+,,, !1?, !1?,
,,,,"Each other player discards the top card of their deck. If it’s a Victory card they gain a Curse; otherwise they gain a copy of the discarded card or you do, your choice.",,,,,,,,,
Fairgrounds ,Cornucopia ,Victory,,Worth 2   per 5 differently named cards you have (round down). ,,,,,,,,,X   
Bag of Gold ,"Cornucopia, 1E ",Action - Prize,,+1 Action,1,,,,,,,1,
,,,,Gain a Gold onto your deck.,,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Diadem ,"Cornucopia, 1E ",Treasure - Prize,,,,,,"+, +",,,,,
,,,,"+ per unused Action you have (Action, not Action card).",,,,,,,,,
,,,,,,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Followers ,"Cornucopia, 1E ",Action - Attack - Prize,,+2 Cards,,2,,,,,1,1,(1  ) 
,,,,Gain an Estate. Each other player gains a Curse and discards down to 3 cards in hand.,,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Princess ,"Cornucopia, 1E ",Action - Prize,,+1 Buy,,,1,R2,,,,,
,,,,"This turn, cards cost less.",,,,,,,,,
,,,,,,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Trusty Steed ,"Cornucopia, 1E ",Action - Prize,,Choose two: +2 Cards; or +2 Actions; or +; or gain 4 Silvers and put your deck into your discard pile. The choices must be different.,+2?,+2?,,+?,,,,4?,
,,,,(This is not in the Supply.),,,,,,,,,
Crossroads ,Hinterlands ,Action,,"Reveal your hand. +1 Card per Victory card revealed. If this is the first time you played a Crossroads this turn, +3 Actions.", !+3,+X,,,,,,,
Duchess ,"Hinterlands, 1E ",Action,,+. Each player (including you) looks at the top card of their deck and may discard it.,,,,+,,,,**Self,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"In games using this, when you gain a Duchy, you may gain a Duchess.",,,,,,,,,
Fool's Gold ,Hinterlands ,Treasure - Reaction,,"If this is the first time you played a Fool's Gold this turn, +, otherwise +.",,,,"+, !+",**Self,,,**1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When another player gains a Province, you may trash this from your hand, to gain a Gold onto your deck.",,,,,,,,,
Develop ,Hinterlands ,Action,,"Trash a card from your hand. Gain two cards onto your deck, with one costing exactly more than it, and one costing exactly less than it, in either order.",,,,,1,,,2,
Guard Dog ,"Hinterlands, 2E ",Action - Reaction,,+2 Cards,**Pself,"+2, !+2",,,,,,,
,,,,"If you have 5 or fewer cards in hand, +2 Cards.",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When another player plays an Attack, you may first play this from your hand.",,,,,,,,,
Oasis ,Hinterlands ,Action,,+1 Card,1,"+1, -1",,+,,,,,
,,,,+1 Action,,,,,,,,,
,,,,+,,,,,,,,,
,,,,Discard a card.,,,,,,,,,
Oracle ,"Hinterlands, 1E ",Action - Attack,,"Each player (including you) reveals the top 2 cards of their deck, and discards them or puts them back, your choice (they choose the order). Then, +2 Cards.",,2,,,,,,,
Scheme ,Hinterlands ,Action,,+1 Card,1,1,,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"This turn, you may put one of your Action cards onto your deck when you discard it from play.",,,,,,,,,
Tunnel ,Hinterlands ,Victory - Reaction,,2  ,,,,,,,, !1,2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this other than during Clean-up, you may reveal it to gain a Gold.",,,,,,,,,
Jack of All Trades ,Hinterlands ,Action,,Gain a Silver. Look at the top card of your deck; you may discard it. Draw until you have 5 cards in hand. You may trash a non-Treasure card from your hand.,,5,,,1?,,,1,
Noble Brigand ,"Hinterlands, 1E ",Action - Attack,,+,,,,+,,,1?,X,
,,,,"Each other player reveals the top 2 cards of their deck, trashes a revealed Silver or Gold you choose, discards the rest, and gains a Copper if they didn't reveal a Treasure. You gain the trashed cards.",,,,,,,*1?,*X,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you buy this, do its attack.",,,,,,,,,
Nomad Camp ,"Hinterlands, 1E ",Action,,+1 Buy,,,1,+,,,,,
,,,,+,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,This is gained onto your deck (instead of to your discard pile).,,,,,,,,,
Nomads ,"Hinterlands, 2E ",Action,,+1 Buy,,,1,+,,,,,
,,,,+,,,,*+,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain or trash this, +.",,,,,,,,,
Silk Road ,"Hinterlands, 1E ",Victory,,Worth 1   for every 4 Victory cards you have (round down). ,,,,,,,,,X   
Spice Merchant ,Hinterlands ,Action,,You may trash a Treasure from your hand to choose one: +2 Cards and +1 Action; or +1 Buy and +., !+1?, !+2?, !+1?, !+?,1?,,,,
Trader ,Hinterlands ,Action - Reaction,,Trash a card from your hand. Gain a Silver per it costs.,,,,,1,,,X,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain a card, you may reveal this from your hand, to exchange the card for a Silver.",,,,,,,,,
Trail ,"Hinterlands, 2E ",Action - Reaction,,+1 Card,1,1,,,,,,,
,,,,+1 Action,*Pself,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain, trash, or discard this, other than in Clean-up, you may play it.",,,,,,,,,
Weaver ,"Hinterlands, 2E ",Action - Reaction,,Gain two Silvers or a card costing up to .,*Pself,,,,,,,1-2?,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this other than in Clean-up, you may play it.",,,,,,,,,
Berserker ,"Hinterlands, 2E ",Action - Attack,,Gain a card costing less than this. Each other player discards down to 3 cards in hand.,*Pself,,,,,,,1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, if you have an Action in play, play this.",,,,,,,,,
Cache ,"Hinterlands, 1E ",Treasure,,"When you gain this, gain 2 Coppers.",,,,+,,,2Self,2,
Cartographer ,Hinterlands ,Action,,+1 Card,1,1,,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"Look at the top 4 cards of your deck. Discard any number of them, then put the rest back in any order.",,,,,,,,,
Cauldron ,"Hinterlands, 2E ",Treasure - Attack,,,,,1,+,,, !1,,
,,,,+1 Buy,,,,,,,,,
,,,,"The third time you gain an Action this turn, each other player gains a Curse.",,,,,,,,,
Embassy ,"Hinterlands, 1E ",Action,,+5 Cards,,"+5, -3",,,,,,,
,,,,Discard 3 cards.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, each other player gains a Silver.",,,,,,,,,
Haggler ,Hinterlands ,Action,,+,,,,+,,,,X,
,,,,"This turn, when you gain a card, if you bought it, gain a cheaper non-Victory card.",,,,,,,,,
Highway ,Hinterlands ,Action,,+1 Card,1,1,,R1,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"This turn, cards cost less.",,,,,,,,,
Ill-Gotten Gains ,"Hinterlands, 1E ",Treasure,,,,(+1)?,,+,,,Self?,1?,
,,,,You may gain a Copper to your hand.,,,,,,,*1,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, each other player gains a Curse.",,,,,,,,,
Inn ,Hinterlands ,Action,,+2 Cards,2,"+2, -2",,,,,,,
,,,,+2 Actions,,,,,,,,,
,,,,Discard 2 cards.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, look through your discard pile, reveal any number of Action cards from it (which can include this), and shuffle them into your deck.",,,,,,,,,
Mandarin ,"Hinterlands, 1E ",Action,,+,,-1,,+,,,,,
,,,,Put a card from your hand onto your deck.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, put all Treasures you have in play onto your deck in any order.",,,,,,,,,
Margrave ,Hinterlands ,Action - Attack,,+3 Cards,,3,1,,,,,,
,,,,+1 Buy,,,,,,,,,
,,,,"Each other player draws a card, then discards down to 3 cards in hand.",,,,,,,,,
Souk ,"Hinterlands, 2E ",Action,,+1 Buy,,,1,"+, -",*0-2?,,,,
,,,,+,,,,,,,,,
,,,,– per card in your hand (you can't go below ).,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, trash up to 2 cards from your hand.",,,,,,,,,
Stables ,Hinterlands ,Action,,"You may discard a Treasure, for +3 Cards and +1 Action.", !+1,"-1?, !+3",,,,,,,
Wheelwright ,"Hinterlands, 2E ",Action,,+1 Card,1,"+1, -1?",,,,,, !1,
,,,,+1 Action,,,,,,,,,
,,,,You may discard a card to gain an Action card costing as much as it or less.,,,,,,,,,
Witch's Hut ,"Hinterlands, 2E ",Action - Attack,,+4 Cards,,"+4, -2",,,,, !1,,
,,,,"Discard 2 cards, revealed. If they're both Actions, each other player gains a Curse.",,,,,,,,,
Border Village ,Hinterlands ,Action,,+1 Card,2,1,,,,,,*1,
,,,,+2 Actions,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, gain a cheaper card.",,,,,,,,,
Farmland ,Hinterlands ,Victory,,2  ,,,,,*1,,,*1,2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, trash a card from your hand and gain a non-Farmland card costing exactly more than it.",,,,,,,,,
Poor House ,Dark Ages ,Action,,+,,,,"+, -",,,,,
,,,,Reveal your hand. – per Treasure card in your hand. (You can't go below .),,,,,,,,,
Beggar ,Dark Ages ,Action - Reaction,,Gain 3 Coppers to your hand.,,(+3),,(+),,,3Self,3,
,,,,,,,,,,,,*2,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When another player plays an Attack card, you may first discard this to gain 2 Silvers, putting one onto your deck.",,,,,,,,,
Squire ,Dark Ages ,Action,,+,+2?,,+2?,+,,,,1?,
,,,,Choose one: +2 Actions; or +2 Buys; or gain a Silver.,,,,,,,,*1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you trash this, gain an Attack card.",,,,,,,,,
Vagrant ,Dark Ages ,Action,,+1 Card,1,"+1, !+1",,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"Reveal the top card of your deck. If it’s a Curse, Ruins, Shelter, or Victory card, put it into your hand.",,,,,,,,,
Forager ,Dark Ages ,Action,,+1 Action,1,,1,+,1,,,,
,,,,+1 Buy,,,,,,,,,
,,,,"Trash a card from your hand, then + per differently named Treasure in the trash.",,,,,,,,,
Hermit ,Dark Ages ,Action,,Look through your discard pile. You may trash a non-Treasure from it or from your hand.,,,,,"1?, !*Self",,,"1, !1",
,,,,Gain a card costing up to .,,,,,,,,,
,,,,"At the end of your Buy phase this turn, if you didn't gain any cards in it, exchange this for a Madman.",,,,,,,,,
Market Square ,Dark Ages ,Action - Reaction,,+1 Card,1,1,1,,,,,*1,
,,,,+1 Action,,,,,,,,,
,,,,+1 Buy,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When one of your cards is trashed, you may discard this from your hand to gain a Gold.",,,,,,,,,
Sage ,Dark Ages ,Action,,+1 Action,1,1,,,,,,,
,,,,Reveal cards from the top of your deck until you reveal one costing or more. Put that card into your hand and discard the rest.,,,,,,,,,
Storeroom ,Dark Ages ,Action,,+1 Buy,,"-Y, +Y, -X",1,+,,,,,
,,,,"Discard any number of cards, then draw that many. Then discard any number of cards for + each.",,,,,,,,,
Urchin ,Dark Ages ,Action - Attack,,+1 Card,1,1,,, !Self?,,, !1,
,,,,+1 Action,,,,,,,,,
,,,,Each other player discards down to 4 cards in hand.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you play another Attack card with this in play, you may first trash this, to gain a Mercenary from the Mercenary pile.",,,,,,,,,
Armory ,Dark Ages ,Action,,Gain a card onto your deck costing up to .,,,,,,,,1,
Death Cart ,Dark Ages ,Action - Looter,,"You may trash this or an Action card from your hand, for +.",,,,+,1 or Self?,,2Self,2,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, gain 2 Ruins.",,,,,,,,,
Feodum ,Dark Ages ,Victory,,Worth 1   per 3 Silvers you have (round down).,,,,,,,,*3,X   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you trash this, gain 3 Silvers.",,,,,,,,,
Fortress ,Dark Ages ,Action,,+1 Card,2,1,,,,,,*(1),
,,,,+2 Actions,,*(+Self),,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you trash this, put it into your hand.",,,,,,,,,
Ironmonger ,Dark Ages ,Action,,+1 Card,"+1, !+1","+1, !+1",, !+,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"Reveal the top card of your deck; you may discard it. Either way, if it is an...",,,,,,,,,
,,,,"Action card, +1 Action",,,,,,,,,
,,,,"Treasure card, +",,,,,,,,,
,,,,"Victory card, +1 Card",,,,,,,,,
Marauder ,Dark Ages ,Action - Attack - Looter,,Gain a Spoils from the Spoils pile. Each other player gains a Ruins.,,,,,,,1,1,
Procession ,Dark Ages ,Action,,You may play a non-Duration Action card from your hand twice. Trash it. Gain an Action card costing exactly more than it.,P2?,,,, !1,,, !1,
Rats ,Dark Ages ,Action,,+1 Card,1,1,,,1,,,1,
,,,,+1 Action,,*1,,,,,,,
,,,,Gain a Rats. Trash a card from your hand other than a Rats (or reveal a hand of all Rats).,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you trash this, +1 Card.",,,,,,,,,
Scavenger ,Dark Ages ,Action,,+,,,,+,,,,,
,,,,You may put your deck into your discard pile. Look through your discard pile and put one card from it onto your deck.,,,,,,,,,
Wandering Minstrel ,Dark Ages ,Action,,+1 Card,2,1,,,,,,,
,,,,+2 Actions,,,,,,,,,
,,,,Reveal the top 3 cards of your deck. Put the Action cards back in any order and discard the rest.,,,,,,,,,
Band of Misfits ,Dark Ages ,Action - Command,,"Play a non-Command Action card from the Supply that costs less than this, leaving it there.",(P1),,,,,,,,
Bandit Camp ,Dark Ages ,Action,,+1 Card,2,1,,,,,,1,
,,,,+2 Actions,,,,,,,,,
,,,,Gain a Spoils from the Spoils pile.,,,,,,,,,
Catacombs ,Dark Ages ,Action,,Look at the top 3 cards of your deck. Choose one: Put them into your hand; or discard them and +3 Cards.,,3,,,,,,*1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you trash this, gain a cheaper card.",,,,,,,,,
Count ,Dark Ages ,Action,,Choose one: Discard 2 cards; or put a card from your hand onto your deck; or gain a Copper.,,"-1?, -2?",,+?,X?,,Self?,"1?, 1?",(3  ?) 
,,,,Choose one: +; or trash your hand; or gain a Duchy.,,,,,,,,,
Counterfeit ,Dark Ages ,Treasure,,,,,1,"+, P2?", !1,,,,
,,,,+1 Buy,,,,,,,,,
,,,,You may play a non-Duration Treasure from your hand twice. Trash it.,,,,,,,,,
Cultist ,Dark Ages ,Action - Attack - Looter,,+2 Cards. Each other player gains a Ruins. You may play a Cultist from your hand.,P1?,2,,,,,1,,
,,,,,,*+3,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you trash this, +3 Cards.",,,,,,,,,
Graverobber ,Dark Ages ,Action,,"Choose one: Gain a card from the trash costing from to , onto your deck; or trash an Action card from your hand and gain a card costing up to more than it.",,,,,1?,,,1?,
Junk Dealer ,Dark Ages ,Action,,+1 Card,1,1,,+,1,,,,
,,,,+1 Action,,,,,,,,,
,,,,+.,,,,,,,,,
,,,,Trash a card from your hand.,,,,,,,,,
Mystic ,Dark Ages ,Action,,+1 Action,1, !+1,,+,,,,,
,,,,+,,,,,,,,,
,,,,"Name a card, then reveal the top card of your deck. If you named it, put it into your hand.",,,,,,,,,
Pillage ,Dark Ages ,Action - Attack,,"Trash this. If you did, gain 2 Spoils, and each other player with 5 or more cards in hand reveals their hand and discards a card that you choose.",,,,,Self,,,2,
Rebuild ,Dark Ages ,Action,,+1 Action,1,,,,1,,,1,
,,,,"Name a card. Reveal cards from your deck until you reveal a Victory card you did not name. Discard the rest, trash the Victory card, and gain a Victory card costing up to more than it.",,,,,,,,,
Rogue ,Dark Ages ,Action - Attack,,+,,,,+,,,, !1,
,,,,"If there are any cards in the trash costing from to , gain one of them. Otherwise, each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest.",,,,,,,,,
Altar ,Dark Ages ,Action,,Trash a card from your hand. Gain a card costing up to .,,,,,1,,,1,
Hunting Grounds ,Dark Ages ,Action,,+4 Cards,,4,,,,,,*1 or 3,*(3  ) 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you trash this, gain a Duchy or 3 Estates.",,,,,,,,,
Abandoned Mine ,Dark Ages ,Action - Ruins,,+,,,,+,,,,,
Ruined Library ,Dark Ages ,Action - Ruins,,+1 Card,,1,,,,,,,
Ruined Market ,Dark Ages ,Action - Ruins,,+1 Buy,,,1,,,,,,
Ruined Village ,Dark Ages ,Action - Ruins,,+1 Action,1,,,,,,,,
Survivors ,Dark Ages ,Action - Ruins,,Look at the top 2 cards of your deck. Discard them or put them back in any order.,,,,,,,,,
Dame Anna ,Dark Ages ,Action - Attack - Knight,,You may trash up to 2 cards from your hand.,,,,,"0-2?, !Self",,,,
,,,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,,,,,
Dame Josephine ,Dark Ages ,Action - Attack - Victory - Knight,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,, !Self,,,,2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,2   ,,,,,,,,,
Dame Molly ,Dark Ages ,Action - Attack - Knight,,+2 Actions,2,,,, !Self,,,,
,,,,"Each other player discards the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,,,,,
Dame Natalie ,Dark Ages ,Action - Attack - Knight,,You may gain a card costing up to .,,,,, !Self,,,1?,
,,,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,,,,,
Dame Sylvia ,Dark Ages ,Action - Attack - Knight,,+,,,,+, !Self,,,,
,,,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,,,,,
Sir Bailey ,Dark Ages ,Action - Attack - Knight,,+1 Card,1,1,,, !Self,,,,
,,,,+1 Action,,,,,,,,,
,,,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,,,,,
Sir Destry ,Dark Ages ,Action - Attack - Knight,,+2 Cards,,2,,, !Self,,,,
,,,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,,,,,
Sir Martin ,Dark Ages ,Action - Attack - Knight,,+2 Buys,,,2,, !Self,,,,
,,,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,,,,,
Sir Michael ,Dark Ages ,Action - Attack - Knight,,Each other player discards down to 3 cards in hand.,,,,, !Self,,,,
,,,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,,,,,,
Sir Vander ,Dark Ages ,Action - Attack - Knight,,"Each other player reveals the top 2 cards of their deck, trashes one of them costing from to , and discards the rest. If a Knight is trashed by this, trash this.",,,,, !Self,,,*1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you trash this, gain a Gold.",,,,,,,,,
Madman ,Dark Ages ,Action,,+2 Actions,2,+X,,,Self,,,,
,,,,"Return this to the Madman pile. If you do, +1 Card per card in your hand.",,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Mercenary ,Dark Ages ,Action - Attack,,"You may trash 2 cards from your hand. If you did, +2 Cards, +, and each other player discards down to 3 cards in hand.",, !+2,, !+,2?,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Spoils ,Dark Ages ,Treasure,,,,,,+,Self,,,,
,,,,"When you play this, return it to the Spoils pile.",,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Hovel ,Dark Ages ,Reaction - Shelter,,"When you gain a Victory card, you may trash this from your hand.",,,,,*Self,,,,
Necropolis ,Dark Ages ,Action - Shelter,,+2 Actions,2,,,,,,,,
Overgrown Estate ,Dark Ages ,Victory - Shelter,,0  ,,*+1,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you trash this, +1 Card.",,,,,,,,,
Candlestick Maker ,Guilds ,Action,,+1 Action,1,,1,+,,,,,
,,,,+1 Buy,,,,,,,,,
,,,,+1 Coffers,,,,,,,,,
Stonemason ,Guilds ,Action,,Trash a card from your hand. Gain 2 cards each costing less than it.,,,,,1,,,2,
,,,,,,,,,,,,*2?,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Overpay: Gain 2 Action cards each costing the amount overpaid.,,,,,,,,,
Doctor ,"Guilds, 1E ",Action,,Name a card. Reveal the top 3 cards of your deck. Trash the matches. Put the rest back in any order.,,,,, !0-3,,,,
,,,,,,,,,*X,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"Overpay: Per overpaid, look at the top card of your deck; trash it, discard it, or put it back.",,,,,,,,,
Masterpiece ,"Guilds, 1E ",Treasure,,Overpay: Gain a Silver per overpaid.,,,,+,,,,*X,
Advisor ,Guilds ,Action,,+1 Action,1,"+3, !-1",,,,,,,
,,,,Reveal the top 3 cards of your deck. The player to your left chooses one of them. Discard that card and put the rest into your hand.,,,,,,,,,
Herald ,Guilds ,Action,,+1 Card,"+1, !P1",1,,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"Reveal the top card of your deck. If it's an Action, play it.",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"Overpay: Per overpaid, put any card from your discard pile onto your deck.",,,,,,,,,
Plaza ,Guilds ,Action,,+1 Card,2,"+1, -1?",, !+,,,,,
,,,,+2 Actions,,,,,,,,,
,,,,You may discard a Treasure for +1 Coffers.,,,,,,,,,
Taxman ,"Guilds, 1E ",Action - Attack,,You may trash a Treasure from your hand. Each other player with 5 or more cards in hand discards a copy of it (or reveals they can't). Gain a Treasure onto your deck costing up to more than it.,,,,,1?,,, !1,
Baker ,Guilds ,Action,,+1 Card,1,1,,+,,,,,
,,,,+1 Action,,,,,,,,,
,,,,+1 Coffers,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Each player gets +1 Coffers.,,,,,,,,,
Butcher ,Guilds ,Action,,+2 Coffers,,,,"+, -",1?,,, !1,
,,,,"You may trash a card from your hand, to gain a card, costing up to more than it per Coffers you spend.",,,,,,,,,
Journeyman ,Guilds ,Action,,Name a card. Reveal cards from your deck until you reveal 3 cards without that name. Put those cards into your hand and discard the rest.,,3,,,,,,,
Merchant Guild ,Guilds ,Action,,+1 Buy,,,1,+,,,,,
,,,,+,,,,*+,,,,,
,,,,"At the end of your Buy phase this turn, +1 Coffers per card you gained in it.",,,,,,,,,
Soothsayer ,Guilds ,Action - Attack,,"Gain a Gold. Each other player gains a Curse, and if they did, draws a card.",,,,,,,1,1,
Farrier ,"Cornucopia & Guilds, 2E ",Action,,+1 Card,1,"+1, *+X",1,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,+1 Buy,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Overpay: +1 Card at the end of this turn per overpaid.,,,,,,,,,
Shop ,"Cornucopia & Guilds, 2E ",Action,,+1 Card,P1?,1,,+,,,,,
,,,,+,,,,,,,,,
,,,,You may play an Action card from your hand that you don't have a copy of in play.,,,,,,,,,
Infirmary ,"Cornucopia & Guilds, 2E ",Action,,+1 Card,*PselfX,1,,,1?,,,,
,,,,You may trash a card from your hand.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Overpay: Play this once per overpaid.,,,,,,,,,
Farmhands ,"Cornucopia & Guilds, 2E ",Action,,+1 Card,"+2, N P1?",1,,,,,,,
,,,,+2 Action,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, you may set aside an Action or Treasure from your hand, and play it at the start of your next turn.",,,,,,,,,
Carnival ,"Cornucopia & Guilds, 2E ",Action,,Reveal the top 4 cards of your deck. Put one of each differently named card into your hand and discard the rest.,,+ 1-4,,,,,,,
Ferryman ,"Cornucopia & Guilds, 2E ",Action,,+2 Cards,1,"+2, -1",,,,,,*1,
,,,,+1 Action,,,,,,,,,
,,,,Discard a card,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
